,Fecha Alta,Tipo,Operación
99,2004-02-08,Local,Alquiler
100,2004-02-08,Suelo,Alquiler
101,2004-02-08,Local,Venta
102,2004-02-08,Casa,Alquiler
103,2004-02-09,Oficina,Venta
104,2004-02-10,Piso,Alquiler
105,2004-02-10,Piso,Alquiler
106,2004-02-10,Suelo,Alquiler
107,2004-02-12,Suelo,Alquiler
108,2004-02-12,Suelo,Alquiler
109,2004-02-12,Parking,Venta
110,2004-02-13,Suelo,Alquiler
111,2004-02-13,Local,Alquiler
112,2004-02-13,Suelo,Alquiler
113,2004-02-14,Suelo,Venta
114,2004-02-14,Industrial,Venta
115,2004-02-15,Parking,Venta
116,2004-02-15,Oficina,Venta
117,2004-02-15,Oficina,Venta
118,2004-02-16,Parking,Venta
119,2004-02-16,Piso,Venta
120,2004-02-17,Parking,Venta
121,2004-02-17,Casa,Alquiler
122,2004-02-17,Local,Alquiler
123,2004-02-18,Suelo,Alquiler
124,2004-02-19,Industrial,Venta
125,2004-02-19,Industrial,Venta
126,2004-02-20,Industrial,Venta
127,2004-02-20,Casa,Venta
128,2004-02-21,Parking,Alquiler
129,2004-02-21,Oficina,Venta
130,2004-02-21,Local,Venta
131,2004-02-21,Oficina,Venta
132,2004-02-22,Suelo,Alquiler
133,2004-02-22,Oficina,Alquiler
134,2004-02-22,Local,Venta
135,2004-02-23,Oficina,Alquiler
136,2004-02-23,Casa,Venta
137,2004-02-24,Industrial,Venta
138,2004-02-26,Local,Alquiler
139,2004-02-26,Piso,Venta
140,2004-02-27,Suelo,Venta
141,2004-02-27,Oficina,Venta
142,2004-02-27,Oficina,Alquiler
143,2004-02-28,Parking,Alquiler
144,2004-02-28,Piso,Venta
145,2004-02-28,Parking,Venta
146,2004-02-28,Parking,Alquiler
147,2004-02-28,Local,Venta
148,2004-02-29,Piso,Venta
149,2004-03-01,Casa,Alquiler
150,2004-03-01,Oficina,Alquiler
151,2004-03-02,Oficina,Venta
152,2004-03-02,Piso,Venta
153,2004-03-02,Industrial,Alquiler
154,2004-03-03,Suelo,Alquiler
155,2004-03-03,Casa,Venta
156,2004-03-03,Oficina,Venta
157,2004-03-03,Casa,Alquiler
158,2004-03-04,Local,Venta
159,2004-03-04,Casa,Venta
160,2004-03-04,Suelo,Venta
161,2004-03-05,Piso,Alquiler
162,2004-03-05,Local,Venta
163,2004-03-05,Oficina,Alquiler
164,2004-03-05,Industrial,Venta
165,2004-03-06,Oficina,Venta
166,2004-03-06,Parking,Venta
167,2004-03-06,Suelo,Venta
168,2004-03-07,Industrial,Alquiler
169,2004-03-08,Suelo,Alquiler
170,2004-03-08,Suelo,Venta
171,2004-03-08,Piso,Alquiler
172,2004-03-09,Oficina,Venta
173,2004-03-09,Piso,Alquiler
174,2004-03-10,Local,Venta
175,2004-03-10,Industrial,Alquiler
176,2004-03-11,Suelo,Venta
177,2004-03-11,Local,Venta
178,2004-03-12,Industrial,Venta
179,2004-03-12,Suelo,Alquiler
180,2004-03-12,Oficina,Venta
181,2004-03-13,Local,Alquiler
182,2004-03-14,Local,Alquiler
183,2004-03-14,Suelo,Venta
184,2004-03-15,Industrial,Venta
185,2004-03-16,Casa,Alquiler
186,2004-03-16,Local,Alquiler
187,2004-03-16,Casa,Venta
188,2004-03-17,Parking,Venta
189,2004-03-17,Parking,Alquiler
190,2004-03-18,Suelo,Alquiler
191,2004-03-18,Local,Venta
192,2004-03-18,Suelo,Venta
193,2004-03-19,Local,Alquiler
194,2004-03-19,Piso,Venta
195,2004-03-20,Piso,Alquiler
196,2004-03-20,Piso,Venta
197,2004-03-21,Oficina,Alquiler
198,2004-03-21,Oficina,Venta
199,2004-03-22,Parking,Venta
200,2004-03-22,Parking,Venta
201,2004-03-22,Piso,Alquiler
202,2004-03-22,Local,Alquiler
203,2004-03-23,Local,Alquiler
204,2004-03-23,Local,Venta
205,2004-03-23,Piso,Alquiler
206,2004-03-23,Piso,Alquiler
207,2004-03-23,Casa,Venta
208,2004-03-24,Parking,Venta
209,2004-03-24,Oficina,Alquiler
210,2004-03-25,Parking,Alquiler
211,2004-03-25,Casa,Alquiler
212,2004-03-26,Suelo,Alquiler
213,2004-03-26,Industrial,Venta
214,2004-03-27,Parking,Alquiler
215,2004-03-27,Industrial,Venta
216,2004-03-28,Industrial,Alquiler
217,2004-03-29,Suelo,Alquiler
218,2004-03-29,Industrial,Alquiler
219,2004-03-30,Industrial,Alquiler
220,2004-03-30,Casa,Alquiler
221,2004-03-30,Local,Alquiler
222,2004-03-31,Suelo,Alquiler
223,2004-03-31,Oficina,Venta
224,2004-04-01,Parking,Alquiler
225,2004-04-01,Local,Alquiler
226,2004-04-01,Casa,Venta
227,2004-04-01,Local,Venta
228,2004-04-01,Oficina,Venta
229,2004-04-02,Oficina,Alquiler
230,2004-04-03,Local,Alquiler
231,2004-04-03,Oficina,Venta
232,2004-04-03,Local,Alquiler
233,2004-04-03,Suelo,Venta
234,2004-04-03,Suelo,Venta
235,2004-04-03,Industrial,Venta
236,2004-04-05,Piso,Venta
237,2004-04-05,Casa,Alquiler
238,2004-04-05,Piso,Alquiler
239,2004-04-06,Parking,Venta
240,2004-04-06,Local,Venta
241,2004-04-07,Suelo,Venta
242,2004-04-07,Local,Venta
243,2004-04-07,Local,Alquiler
244,2004-04-08,Casa,Venta
245,2004-04-09,Local,Venta
246,2004-04-09,Industrial,Alquiler
247,2004-04-09,Suelo,Alquiler
248,2004-04-09,Industrial,Venta
249,2004-04-09,Piso,Alquiler
250,2004-04-09,Suelo,Venta
251,2004-04-09,Parking,Alquiler
252,2004-04-10,Parking,Venta
253,2004-04-10,Piso,Venta
254,2004-04-10,Local,Alquiler
255,2004-04-10,Industrial,Venta
256,2004-04-11,Suelo,Alquiler
257,2004-04-11,Suelo,Alquiler
258,2004-04-11,Parking,Venta
259,2004-04-12,Piso,Alquiler
260,2004-04-12,Casa,Alquiler
261,2004-04-12,Casa,Alquiler
262,2004-04-13,Oficina,Alquiler
263,2004-04-14,Parking,Alquiler
264,2004-04-14,Parking,Venta
265,2004-04-14,Parking,Alquiler
266,2004-04-14,Casa,Venta
267,2004-04-15,Industrial,Alquiler
268,2004-04-15,Parking,Venta
269,2004-04-15,Parking,Alquiler
270,2004-04-15,Local,Alquiler
271,2004-04-15,Suelo,Venta
272,2004-04-15,Piso,Alquiler
273,2004-04-15,Piso,Alquiler
274,2004-04-16,Local,Alquiler
275,2004-04-17,Oficina,Alquiler
276,2004-04-17,Parking,Venta
277,2004-04-17,Suelo,Alquiler
278,2004-04-18,Suelo,Venta
279,2004-04-18,Oficina,Venta
280,2004-04-18,Oficina,Venta
281,2004-04-18,Casa,Venta
282,2004-04-18,Oficina,Alquiler
283,2004-04-19,Suelo,Alquiler
284,2004-04-19,Industrial,Alquiler
285,2004-04-19,Industrial,Venta
286,2004-04-19,Industrial,Alquiler
287,2004-04-19,Casa,Alquiler
288,2004-04-20,Suelo,Venta
289,2004-04-20,Oficina,Alquiler
290,2004-04-21,Casa,Alquiler
291,2004-04-21,Parking,Venta
292,2004-04-22,Parking,Venta
293,2004-04-22,Oficina,Venta
294,2004-04-22,Oficina,Venta
295,2004-04-22,Parking,Alquiler
296,2004-04-23,Suelo,Alquiler
297,2004-04-23,Industrial,Venta
298,2004-04-23,Industrial,Venta
299,2004-04-23,Suelo,Alquiler
300,2004-04-24,Casa,Alquiler
301,2004-04-24,Industrial,Alquiler
302,2004-04-25,Oficina,Venta
303,2004-04-26,Casa,Alquiler
304,2004-04-27,Oficina,Venta
305,2004-04-27,Piso,Venta
306,2004-04-27,Industrial,Venta
307,2004-04-28,Suelo,Alquiler
308,2004-04-28,Piso,Alquiler
309,2004-04-28,Industrial,Venta
310,2004-04-28,Suelo,Venta
311,2004-04-29,Industrial,Venta
312,2004-04-30,Local,Alquiler
313,2004-04-30,Suelo,Alquiler
314,2004-05-01,Casa,Alquiler
315,2004-05-02,Industrial,Alquiler
316,2004-05-02,Parking,Alquiler
317,2004-05-02,Suelo,Alquiler
318,2004-05-02,Piso,Venta
319,2004-05-02,Industrial,Alquiler
320,2004-05-03,Industrial,Alquiler
321,2004-05-03,Suelo,Venta
322,2004-05-03,Parking,Venta
323,2004-05-04,Suelo,Alquiler
324,2004-05-04,Piso,Venta
325,2004-05-04,Industrial,Alquiler
326,2004-05-04,Suelo,Venta
327,2004-05-04,Suelo,Venta
328,2004-05-04,Industrial,Venta
329,2004-05-05,Parking,Alquiler
330,2004-05-05,Parking,Alquiler
331,2004-05-06,Local,Alquiler
332,2004-05-06,Piso,Venta
333,2004-05-07,Industrial,Alquiler
334,2004-05-07,Piso,Venta
335,2004-05-07,Local,Alquiler
336,2004-05-08,Oficina,Venta
337,2004-05-08,Oficina,Alquiler
338,2004-05-09,Suelo,Alquiler
339,2004-05-10,Suelo,Venta
340,2004-05-10,Casa,Venta
341,2004-05-10,Local,Alquiler
342,2004-05-10,Parking,Venta
343,2004-05-10,Casa,Venta
344,2004-05-11,Industrial,Alquiler
345,2004-05-11,Local,Venta
346,2004-05-11,Industrial,Venta
347,2004-05-11,Oficina,Alquiler
348,2004-05-12,Parking,Venta
349,2004-05-13,Oficina,Venta
350,2004-05-13,Piso,Alquiler
351,2004-05-14,Casa,Venta
352,2004-05-14,Piso,Alquiler
353,2004-05-14,Piso,Venta
354,2004-05-14,Oficina,Alquiler
355,2004-05-14,Parking,Alquiler
356,2004-05-15,Suelo,Venta
357,2004-05-15,Piso,Venta
358,2004-05-15,Parking,Venta
359,2004-05-16,Local,Venta
360,2004-05-17,Local,Venta
361,2004-05-18,Casa,Venta
362,2004-05-18,Suelo,Alquiler
363,2004-05-18,Local,Venta
364,2004-05-18,Local,Alquiler
365,2004-05-18,Oficina,Venta
366,2004-05-18,Industrial,Alquiler
367,2004-05-18,Casa,Venta
368,2004-05-19,Casa,Alquiler
369,2004-05-19,Suelo,Alquiler
370,2004-05-20,Oficina,Venta
371,2004-05-20,Parking,Alquiler
372,2004-05-21,Suelo,Alquiler
373,2004-05-21,Piso,Alquiler
374,2004-05-22,Local,Venta
375,2004-05-23,Industrial,Alquiler
376,2004-05-24,Oficina,Alquiler
377,2004-05-24,Suelo,Alquiler
378,2004-05-24,Piso,Venta
379,2004-05-25,Local,Venta
380,2004-05-25,Casa,Venta
381,2004-05-26,Suelo,Alquiler
382,2004-05-26,Industrial,Alquiler
383,2004-05-26,Parking,Venta
384,2004-05-26,Parking,Venta
385,2004-05-26,Parking,Alquiler
386,2004-05-27,Oficina,Venta
387,2004-05-28,Parking,Alquiler
388,2004-05-29,Oficina,Alquiler
389,2004-05-30,Parking,Alquiler
390,2004-05-30,Suelo,Venta
391,2004-05-30,Piso,Alquiler
392,2004-05-31,Piso,Venta
393,2004-05-31,Local,Alquiler
394,2004-05-31,Casa,Alquiler
395,2004-05-31,Parking,Alquiler
396,2004-06-01,Parking,Venta
397,2004-06-01,Industrial,Venta
398,2004-06-01,Industrial,Venta
399,2004-06-01,Parking,Venta
400,2004-06-02,Piso,Alquiler
401,2004-06-02,Industrial,Alquiler
402,2004-06-02,Piso,Venta
403,2004-06-03,Casa,Alquiler
404,2004-06-03,Local,Venta
405,2004-06-03,Oficina,Venta
406,2004-06-03,Industrial,Venta
407,2004-06-04,Industrial,Alquiler
408,2004-06-04,Parking,Venta
409,2004-06-04,Piso,Alquiler
410,2004-06-05,Local,Venta
411,2004-06-05,Local,Venta
412,2004-06-05,Piso,Alquiler
413,2004-06-06,Suelo,Venta
414,2004-06-06,Parking,Venta
415,2004-06-07,Oficina,Alquiler
416,2004-06-07,Suelo,Venta
417,2004-06-07,Industrial,Alquiler
418,2004-06-07,Parking,Venta
419,2004-06-08,Piso,Alquiler
420,2004-06-09,Suelo,Venta
421,2004-06-09,Piso,Alquiler
422,2004-06-09,Local,Alquiler
423,2004-06-09,Parking,Venta
424,2004-06-09,Casa,Venta
425,2004-06-09,Oficina,Alquiler
426,2004-06-10,Piso,Venta
427,2004-06-10,Piso,Alquiler
428,2004-06-11,Parking,Alquiler
429,2004-06-11,Oficina,Venta
430,2004-06-11,Suelo,Alquiler
431,2004-06-12,Oficina,Alquiler
432,2004-06-13,Suelo,Venta
433,2004-06-13,Local,Alquiler
434,2004-06-13,Industrial,Alquiler
435,2004-06-13,Suelo,Venta
436,2004-06-14,Parking,Venta
437,2004-06-14,Oficina,Venta
438,2004-06-15,Oficina,Alquiler
439,2004-06-15,Parking,Venta
440,2004-06-16,Parking,Venta
441,2004-06-16,Parking,Venta
442,2004-06-17,Piso,Alquiler
443,2004-06-17,Parking,Venta
444,2004-06-17,Local,Alquiler
445,2004-06-17,Casa,Alquiler
446,2004-06-17,Parking,Alquiler
447,2004-06-17,Local,Alquiler
448,2004-06-17,Local,Venta
449,2004-06-18,Industrial,Alquiler
450,2004-06-18,Oficina,Venta
451,2004-06-19,Suelo,Venta
452,2004-06-19,Suelo,Venta
453,2004-06-19,Oficina,Alquiler
454,2004-06-20,Parking,Alquiler
455,2004-06-20,Piso,Venta
456,2004-06-20,Suelo,Alquiler
457,2004-06-20,Piso,Alquiler
458,2004-06-21,Oficina,Venta
459,2004-06-22,Oficina,Alquiler
460,2004-06-22,Casa,Venta
461,2004-06-22,Oficina,Alquiler
462,2004-06-23,Casa,Venta
463,2004-06-24,Casa,Alquiler
464,2004-06-24,Industrial,Alquiler
465,2004-06-24,Local,Alquiler
466,2004-06-24,Local,Venta
467,2004-06-24,Local,Venta
468,2004-06-24,Casa,Alquiler
469,2004-06-25,Parking,Venta
470,2004-06-25,Casa,Venta
471,2004-06-25,Suelo,Venta
472,2004-06-25,Parking,Alquiler
473,2004-06-25,Suelo,Venta
474,2004-06-25,Suelo,Alquiler
475,2004-06-26,Oficina,Alquiler
476,2004-06-28,Suelo,Alquiler
477,2004-06-28,Suelo,Alquiler
478,2004-06-28,Oficina,Venta
479,2004-06-28,Suelo,Venta
480,2004-06-29,Oficina,Alquiler
481,2004-06-29,Industrial,Venta
482,2004-06-29,Oficina,Venta
483,2004-06-30,Casa,Venta
484,2004-06-30,Piso,Alquiler
485,2004-06-30,Piso,Venta
486,2004-06-30,Casa,Venta
487,2004-07-01,Piso,Alquiler
488,2004-07-01,Casa,Venta
489,2004-07-02,Parking,Alquiler
490,2004-07-02,Piso,Alquiler
491,2004-07-03,Local,Venta
492,2004-07-03,Parking,Alquiler
493,2004-07-03,Piso,Venta
494,2004-07-03,Oficina,Venta
495,2004-07-03,Piso,Alquiler
496,2004-07-03,Oficina,Venta
497,2004-07-03,Suelo,Alquiler
498,2004-07-04,Casa,Venta
499,2004-07-04,Industrial,Alquiler
500,2004-07-05,Casa,Venta
501,2004-07-05,Piso,Alquiler
502,2004-07-05,Piso,Venta
503,2004-07-05,Oficina,Venta
504,2004-07-05,Industrial,Venta
505,2004-07-05,Industrial,Alquiler
506,2004-07-05,Industrial,Alquiler
507,2004-07-05,Local,Venta
508,2004-07-06,Parking,Venta
509,2004-07-06,Industrial,Alquiler
510,2004-07-06,Industrial,Venta
511,2004-07-06,Parking,Alquiler
512,2004-07-06,Casa,Alquiler
513,2004-07-07,Casa,Venta
514,2004-07-08,Oficina,Alquiler
515,2004-07-08,Oficina,Alquiler
516,2004-07-08,Industrial,Venta
517,2004-07-08,Casa,Venta
518,2004-07-09,Piso,Alquiler
519,2004-07-09,Suelo,Alquiler
520,2004-07-09,Parking,Venta
521,2004-07-09,Casa,Venta
522,2004-07-09,Suelo,Alquiler
523,2004-07-10,Piso,Alquiler
524,2004-07-10,Parking,Venta
525,2004-07-11,Parking,Venta
526,2004-07-11,Industrial,Alquiler
527,2004-07-12,Casa,Alquiler
528,2004-07-12,Industrial,Alquiler
529,2004-07-12,Local,Venta
530,2004-07-12,Industrial,Alquiler
531,2004-07-12,Local,Alquiler
532,2004-07-13,Parking,Venta
533,2004-07-14,Oficina,Venta
534,2004-07-14,Industrial,Alquiler
535,2004-07-14,Casa,Venta
536,2004-07-14,Local,Alquiler
537,2004-07-15,Industrial,Alquiler
538,2004-07-16,Parking,Alquiler
539,2004-07-16,Parking,Alquiler
540,2004-07-16,Casa,Alquiler
541,2004-07-16,Oficina,Venta
542,2004-07-16,Industrial,Venta
543,2004-07-17,Oficina,Venta
544,2004-07-18,Local,Venta
545,2004-07-20,Industrial,Venta
546,2004-07-20,Casa,Alquiler
547,2004-07-20,Parking,Venta
548,2004-07-20,Local,Venta
549,2004-07-21,Casa,Alquiler
550,2004-07-21,Piso,Alquiler
551,2004-07-21,Local,Venta
552,2004-07-21,Oficina,Venta
553,2004-07-21,Parking,Venta
554,2004-07-22,Piso,Venta
555,2004-07-22,Suelo,Venta
556,2004-07-23,Piso,Alquiler
557,2004-07-24,Piso,Alquiler
558,2004-07-24,Local,Alquiler
559,2004-07-25,Industrial,Alquiler
560,2004-07-25,Parking,Alquiler
561,2004-07-25,Piso,Alquiler
562,2004-07-25,Piso,Venta
563,2004-07-25,Casa,Alquiler
564,2004-07-25,Suelo,Venta
565,2004-07-26,Local,Alquiler
566,2004-07-26,Local,Venta
567,2004-07-26,Local,Venta
568,2004-07-26,Local,Alquiler
569,2004-07-27,Suelo,Alquiler
570,2004-07-27,Industrial,Alquiler
571,2004-07-28,Local,Alquiler
572,2004-07-28,Parking,Venta
573,2004-07-28,Local,Alquiler
574,2004-07-28,Parking,Alquiler
575,2004-07-29,Casa,Venta
576,2004-07-29,Oficina,Venta
577,2004-07-29,Oficina,Venta
578,2004-07-29,Industrial,Venta
579,2004-07-30,Parking,Venta
580,2004-07-30,Casa,Venta
581,2004-07-31,Industrial,Venta
582,2004-07-31,Local,Venta
583,2004-08-01,Casa,Alquiler
584,2004-08-01,Parking,Alquiler
585,2004-08-01,Oficina,Alquiler
586,2004-08-02,Piso,Alquiler
587,2004-08-02,Local,Alquiler
588,2004-08-02,Oficina,Venta
589,2004-08-03,Suelo,Venta
590,2004-08-03,Suelo,Alquiler
591,2004-08-03,Parking,Alquiler
592,2004-08-04,Suelo,Venta
593,2004-08-04,Industrial,Alquiler
594,2004-08-04,Industrial,Venta
595,2004-08-04,Parking,Venta
596,2004-08-05,Casa,Venta
597,2004-08-06,Casa,Venta
598,2004-08-08,Local,Alquiler
599,2004-08-08,Oficina,Alquiler
600,2004-08-08,Casa,Alquiler
601,2004-08-09,Industrial,Venta
602,2004-08-09,Casa,Alquiler
603,2004-08-10,Local,Alquiler
604,2004-08-10,Piso,Alquiler
605,2004-08-10,Parking,Alquiler
606,2004-08-10,Parking,Venta
607,2004-08-11,Suelo,Venta
608,2004-08-11,Suelo,Venta
609,2004-08-11,Local,Venta
610,2004-08-11,Casa,Venta
611,2004-08-11,Casa,Alquiler
612,2004-08-11,Industrial,Venta
613,2004-08-12,Casa,Alquiler
614,2004-08-12,Local,Venta
615,2004-08-12,Piso,Alquiler
616,2004-08-13,Piso,Venta
617,2004-08-13,Oficina,Alquiler
618,2004-08-13,Suelo,Alquiler
619,2004-08-14,Suelo,Alquiler
620,2004-08-14,Industrial,Venta
621,2004-08-14,Piso,Venta
622,2004-08-15,Local,Venta
623,2004-08-15,Industrial,Venta
624,2004-08-15,Industrial,Alquiler
625,2004-08-16,Piso,Alquiler
626,2004-08-16,Parking,Alquiler
627,2004-08-16,Casa,Alquiler
628,2004-08-17,Piso,Venta
629,2004-08-17,Parking,Alquiler
630,2004-08-17,Parking,Alquiler
631,2004-08-17,Piso,Venta
632,2004-08-17,Parking,Alquiler
633,2004-08-18,Piso,Alquiler
634,2004-08-18,Local,Alquiler
635,2004-08-18,Piso,Alquiler
636,2004-08-18,Parking,Alquiler
637,2004-08-18,Casa,Venta
638,2004-08-19,Piso,Alquiler
639,2004-08-19,Industrial,Alquiler
640,2004-08-19,Oficina,Venta
641,2004-08-20,Industrial,Venta
642,2004-08-20,Industrial,Alquiler
643,2004-08-20,Industrial,Alquiler
644,2004-08-20,Industrial,Venta
645,2004-08-20,Parking,Alquiler
646,2004-08-21,Piso,Venta
647,2004-08-21,Oficina,Venta
648,2004-08-21,Piso,Alquiler
649,2004-08-22,Parking,Venta
650,2004-08-22,Piso,Venta
651,2004-08-22,Oficina,Alquiler
652,2004-08-22,Piso,Venta
653,2004-08-22,Oficina,Alquiler
654,2004-08-22,Oficina,Venta
655,2004-08-23,Oficina,Venta
656,2004-08-23,Casa,Venta
657,2004-08-23,Parking,Venta
658,2004-08-23,Casa,Alquiler
659,2004-08-23,Piso,Venta
660,2004-08-23,Local,Venta
661,2004-08-24,Parking,Alquiler
662,2004-08-24,Local,Alquiler
663,2004-08-24,Local,Alquiler
664,2004-08-25,Local,Alquiler
665,2004-08-26,Suelo,Venta
666,2004-08-26,Oficina,Venta
667,2004-08-27,Parking,Venta
668,2004-08-27,Parking,Venta
669,2004-08-28,Industrial,Venta
670,2004-08-28,Suelo,Alquiler
671,2004-08-28,Local,Alquiler
672,2004-08-29,Industrial,Venta
673,2004-08-29,Parking,Venta
674,2004-08-29,Oficina,Alquiler
675,2004-08-29,Casa,Venta
676,2004-08-30,Industrial,Alquiler
677,2004-08-30,Industrial,Venta
678,2004-08-30,Suelo,Venta
679,2004-08-30,Piso,Alquiler
680,2004-08-30,Industrial,Alquiler
681,2004-08-30,Oficina,Venta
682,2004-08-30,Piso,Alquiler
683,2004-08-31,Parking,Venta
684,2004-08-31,Piso,Venta
685,2004-08-31,Suelo,Alquiler
686,2004-09-01,Piso,Alquiler
687,2004-09-01,Suelo,Venta
688,2004-09-02,Parking,Venta
689,2004-09-02,Parking,Alquiler
690,2004-09-02,Casa,Alquiler
691,2004-09-02,Oficina,Venta
692,2004-09-03,Suelo,Venta
693,2004-09-03,Piso,Alquiler
694,2004-09-03,Local,Venta
695,2004-09-04,Suelo,Alquiler
696,2004-09-04,Local,Alquiler
697,2004-09-05,Parking,Alquiler
698,2004-09-05,Suelo,Alquiler
699,2004-09-06,Local,Alquiler
700,2004-09-06,Casa,Venta
701,2004-09-07,Piso,Alquiler
702,2004-09-07,Casa,Venta
703,2004-09-08,Piso,Alquiler
704,2004-09-08,Oficina,Alquiler
705,2004-09-08,Piso,Alquiler
706,2004-09-08,Industrial,Venta
707,2004-09-08,Industrial,Venta
708,2004-09-09,Casa,Alquiler
709,2004-09-09,Parking,Venta
710,2004-09-10,Casa,Venta
711,2004-09-10,Parking,Alquiler
712,2004-09-10,Casa,Venta
713,2004-09-10,Casa,Alquiler
714,2004-09-10,Oficina,Alquiler
715,2004-09-10,Oficina,Alquiler
716,2004-09-10,Local,Alquiler
717,2004-09-11,Suelo,Alquiler
718,2004-09-11,Oficina,Venta
719,2004-09-11,Casa,Venta
720,2004-09-12,Industrial,Venta
721,2004-09-12,Industrial,Alquiler
722,2004-09-12,Casa,Alquiler
723,2004-09-12,Oficina,Alquiler
724,2004-09-13,Oficina,Alquiler
725,2004-09-13,Parking,Venta
726,2004-09-15,Suelo,Alquiler
727,2004-09-16,Suelo,Venta
728,2004-09-16,Casa,Alquiler
729,2004-09-16,Parking,Alquiler
730,2004-09-16,Casa,Venta
731,2004-09-16,Suelo,Venta
732,2004-09-17,Oficina,Alquiler
733,2004-09-17,Piso,Venta
734,2004-09-18,Oficina,Alquiler
735,2004-09-19,Industrial,Venta
736,2004-09-19,Suelo,Alquiler
737,2004-09-19,Suelo,Alquiler
738,2004-09-20,Piso,Venta
739,2004-09-21,Parking,Alquiler
740,2004-09-21,Parking,Venta
741,2004-09-22,Suelo,Venta
742,2004-09-22,Local,Venta
743,2004-09-22,Casa,Venta
744,2004-09-22,Suelo,Venta
745,2004-09-22,Oficina,Alquiler
746,2004-09-22,Suelo,Alquiler
747,2004-09-22,Industrial,Alquiler
748,2004-09-23,Local,Venta
749,2004-09-23,Parking,Alquiler
750,2004-09-23,Parking,Venta
751,2004-09-25,Local,Venta
752,2004-09-25,Local,Venta
753,2004-09-25,Piso,Alquiler
754,2004-09-25,Oficina,Venta
755,2004-09-26,Industrial,Alquiler
756,2004-09-26,Industrial,Venta
757,2004-09-26,Piso,Venta
758,2004-09-26,Piso,Alquiler
759,2004-09-26,Casa,Alquiler
760,2004-09-26,Local,Venta
761,2004-09-26,Parking,Venta
