,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
222,223,2004-03-31,Suelo,Alquiler,Girona,62,489924,2004-09-09,Luisa
227,228,2004-04-01,Local,Venta,Girona,211,2010619,2004-11-12,Jesús
232,233,2004-04-03,Local,Alquiler,Girona,246,1362348,2004-10-05,Joaquín
233,234,2004-04-03,Suelo,Venta,Girona,230,1722700,2005-03-26,Carmen
235,236,2004-04-03,Industrial,Venta,Girona,226,2104286,2004-08-26,Carmen
245,246,2004-04-09,Local,Venta,Girona,287,1936102,2005-04-08,Jesús
247,248,2004-04-09,Suelo,Alquiler,Girona,136,873120,2004-12-26,Pedro
253,254,2004-04-10,Piso,Venta,Girona,67,379689,2004-10-29,Pedro
255,256,2004-04-10,Industrial,Venta,Girona,238,1620304,2004-10-05,Carmen
266,267,2004-04-14,Casa,Venta,Girona,204,1291116,2004-09-27,Carmen
267,268,2004-04-15,Industrial,Alquiler,Girona,150,968250,2005-02-15,María
274,275,2004-04-16,Local,Alquiler,Girona,193,1079449,2004-11-20,Pedro
275,276,2004-04-17,Oficina,Alquiler,Girona,110,1039500,2004-11-17,Pedro
277,278,2004-04-17,Suelo,Alquiler,Girona,125,853750,2004-08-25,Carmen
278,279,2004-04-18,Suelo,Venta,Girona,244,1414956,2005-02-26,María
280,281,2004-04-18,Oficina,Venta,Girona,258,1081278,2005-04-13,Carmen
281,282,2004-04-18,Casa,Venta,Girona,285,2534505,2004-12-28,Jesús
283,284,2004-04-19,Suelo,Alquiler,Girona,262,2404898,2004-10-20,Luisa
289,290,2004-04-20,Oficina,Alquiler,Girona,227,1437818,2005-03-27,Jesús
292,293,2004-04-22,Parking,Venta,Girona,82,430418,2005-02-09,Luisa
293,294,2004-04-22,Oficina,Venta,Girona,86,589960,2005-03-18,Carmen
294,295,2004-04-22,Oficina,Venta,Girona,133,786695,2004-11-21,Luisa
296,297,2004-04-23,Suelo,Alquiler,Girona,288,2699136,2004-07-28,Pedro
298,299,2004-04-23,Industrial,Venta,Girona,45,307170,2005-04-16,Joaquín
301,302,2004-04-24,Industrial,Alquiler,Girona,211,1171894,2005-03-22,Pedro
302,303,2004-04-25,Oficina,Venta,Girona,209,1728221,2004-08-30,Carmen
304,305,2004-04-27,Oficina,Venta,Girona,249,1150380,2004-11-18,Joaquín
311,312,2004-04-29,Industrial,Venta,Girona,189,1579284,2005-01-07,Luisa
319,320,2004-05-02,Industrial,Alquiler,Girona,277,2456159,2004-08-04,María
320,321,2004-05-03,Industrial,Alquiler,Girona,190,977740,2004-08-12,Pedro
324,325,2004-05-04,Piso,Venta,Girona,60,332400,2004-08-30,Joaquín
329,330,2004-05-05,Parking,Alquiler,Girona,125,1189250,2004-10-26,Pedro
331,332,2004-05-06,Local,Alquiler,Girona,138,877680,2005-03-31,Luisa
336,337,2004-05-08,Oficina,Venta,Girona,102,413610,2004-09-15,Pedro
338,339,2004-05-09,Suelo,Alquiler,Girona,75,683175,2004-09-04,Joaquín
347,348,2004-05-11,Oficina,Alquiler,Girona,187,1560889,2005-03-26,Joaquín
349,350,2004-05-13,Oficina,Venta,Girona,103,680830,2004-09-21,María
350,351,2004-05-13,Piso,Alquiler,Girona,75,418725,2005-04-24,Pedro
353,354,2004-05-14,Piso,Venta,Girona,122,885476,2005-03-30,Carmen
356,357,2004-05-15,Suelo,Venta,Girona,196,1707944,2004-08-19,Pedro
362,363,2004-05-18,Suelo,Alquiler,Girona,68,378624,2005-03-30,Carmen
367,368,2004-05-18,Casa,Venta,Girona,80,354320,2004-10-18,Carmen
377,378,2004-05-24,Suelo,Alquiler,Girona,280,1680000,2004-09-17,María
378,379,2004-05-24,Piso,Venta,Girona,108,812808,2004-10-13,Jesús
380,381,2004-05-25,Casa,Venta,Girona,123,775884,2004-10-21,Joaquín
385,386,2004-05-26,Parking,Alquiler,Girona,184,830760,2004-09-13,Pedro
387,388,2004-05-28,Parking,Alquiler,Girona,137,835152,2005-02-13,Jesús
390,391,2004-05-30,Suelo,Venta,Girona,300,1483500,2005-03-29,Carmen
392,393,2004-05-31,Piso,Venta,Girona,225,1164375,2005-03-04,Pedro
394,395,2004-05-31,Casa,Alquiler,Girona,192,1159296,2005-05-23,Carmen
397,398,2004-06-01,Industrial,Venta,Girona,72,427824,2004-11-08,Luisa
402,403,2004-06-02,Piso,Venta,Girona,90,770040,2005-04-26,Jesús
408,409,2004-06-04,Parking,Venta,Girona,293,1750089,2005-04-05,Luisa
410,411,2004-06-05,Local,Venta,Girona,90,742770,2004-11-27,Luisa
411,412,2004-06-05,Local,Venta,Girona,148,1268952,2004-10-14,María
417,418,2004-06-07,Industrial,Alquiler,Girona,287,2452989,2005-01-26,Joaquín
418,419,2004-06-07,Parking,Venta,Girona,174,952302,2004-12-06,Luisa
424,425,2004-06-09,Casa,Venta,Girona,173,1117753,2004-12-11,María
434,435,2004-06-13,Industrial,Alquiler,Girona,233,1541528,2005-02-03,Jesús
436,437,2004-06-14,Parking,Venta,Girona,107,909821,2005-05-03,Luisa
438,439,2004-06-15,Oficina,Alquiler,Girona,298,2524358,2004-10-23,Luisa
442,443,2004-06-17,Piso,Alquiler,Girona,245,1001070,2004-10-14,Jesús
444,445,2004-06-17,Local,Alquiler,Girona,44,189156,2004-11-25,Jesús
447,448,2004-06-17,Local,Alquiler,Girona,234,1159470,2004-10-02,Pedro
448,449,2004-06-17,Local,Venta,Girona,118,788948,2005-04-08,Pedro
452,453,2004-06-19,Suelo,Venta,Girona,185,1616900,2005-04-08,Jesús
458,459,2004-06-21,Oficina,Venta,Girona,107,590426,2004-11-03,María
460,461,2004-06-22,Casa,Venta,Girona,90,412740,2004-09-26,María
462,463,2004-06-23,Casa,Venta,Girona,214,1962380,2005-06-01,Pedro
463,464,2004-06-24,Casa,Alquiler,Girona,143,836836,2005-06-15,Luisa
466,467,2004-06-24,Local,Venta,Girona,126,520758,2005-06-16,Pedro
473,474,2004-06-25,Suelo,Venta,Girona,199,1622646,2005-06-23,Jesús
478,479,2004-06-28,Oficina,Venta,Girona,232,1028224,2005-05-26,Luisa
483,484,2004-06-30,Casa,Venta,Girona,153,1506438,2004-12-03,Luisa
485,486,2004-06-30,Piso,Venta,Girona,283,2199476,2005-06-04,Luisa
490,491,2004-07-02,Piso,Alquiler,Girona,62,358670,2005-06-04,Luisa
496,497,2004-07-03,Oficina,Venta,Girona,209,1316073,2005-04-02,Pedro
516,517,2004-07-08,Industrial,Venta,Girona,174,1313526,2005-01-16,Pedro
517,518,2004-07-08,Casa,Venta,Girona,108,638064,2004-10-24,Luisa
522,523,2004-07-09,Suelo,Alquiler,Girona,270,1429380,2005-03-25,Carmen
525,526,2004-07-11,Parking,Venta,Girona,162,1594404,2005-03-07,María
533,534,2004-07-14,Oficina,Venta,Girona,62,410316,2004-12-27,Luisa
535,536,2004-07-14,Casa,Venta,Girona,197,1292123,2005-06-30,Joaquín
536,537,2004-07-14,Local,Alquiler,Girona,117,1031121,2005-04-30,Luisa
537,538,2004-07-15,Industrial,Alquiler,Girona,279,2161134,2005-03-09,María
540,541,2004-07-16,Casa,Alquiler,Girona,62,251596,2005-06-20,Jesús
546,547,2004-07-20,Casa,Alquiler,Girona,200,1000000,2004-12-13,Jesús
548,549,2004-07-20,Local,Venta,Girona,237,1403988,2005-06-27,Carmen
550,551,2004-07-21,Piso,Alquiler,Girona,237,2215002,2004-10-31,Pedro
554,555,2004-07-22,Piso,Venta,Girona,138,1289748,2004-12-25,Luisa
556,557,2004-07-23,Piso,Alquiler,Girona,198,1916442,2005-04-14,Joaquín
557,558,2004-07-24,Piso,Alquiler,Girona,246,1875012,2005-03-08,Luisa
561,562,2004-07-25,Piso,Alquiler,Girona,161,960526,2005-06-21,Joaquín
565,566,2004-07-26,Local,Alquiler,Girona,266,1881950,2005-01-15,María
577,578,2004-07-29,Oficina,Venta,Girona,221,1571973,2004-12-25,Joaquín
578,579,2004-07-29,Industrial,Venta,Girona,148,811780,2005-04-17,Luisa
583,584,2004-08-01,Casa,Alquiler,Girona,257,1077601,2005-02-07,Luisa
584,585,2004-08-01,Parking,Alquiler,Girona,161,1050203,2005-02-04,Joaquín
590,591,2004-08-03,Suelo,Alquiler,Girona,46,435712,2005-03-31,Luisa
591,592,2004-08-03,Parking,Alquiler,Girona,145,999630,2005-05-01,Pedro
600,601,2004-08-08,Casa,Alquiler,Girona,147,919632,2005-06-23,Luisa
601,602,2004-08-09,Industrial,Venta,Girona,227,1218763,2005-07-27,Joaquín
611,612,2004-08-11,Casa,Alquiler,Girona,92,879244,2005-05-06,Joaquín
624,625,2004-08-15,Industrial,Alquiler,Girona,222,2171826,2005-01-12,Carmen
628,629,2004-08-17,Piso,Venta,Girona,249,1427019,2004-12-04,Jesús
629,630,2004-08-17,Parking,Alquiler,Girona,170,1567060,2005-02-19,María
631,632,2004-08-17,Piso,Venta,Girona,201,1816437,2005-05-10,Pedro
632,633,2004-08-17,Parking,Alquiler,Girona,167,1191044,2005-01-11,Luisa
634,635,2004-08-18,Local,Alquiler,Girona,197,981651,2005-01-17,Jesús
638,639,2004-08-19,Piso,Alquiler,Girona,277,2646181,2005-07-04,Carmen
640,641,2004-08-19,Oficina,Venta,Girona,249,2306238,2005-03-02,María
641,642,2004-08-20,Industrial,Venta,Girona,119,711382,2005-08-01,Luisa
647,648,2004-08-21,Oficina,Venta,Girona,267,1153173,2005-03-28,Pedro
650,651,2004-08-22,Piso,Venta,Girona,207,1015956,2005-06-17,Jesús
651,652,2004-08-22,Oficina,Alquiler,Girona,259,1080548,2004-12-31,María
653,654,2004-08-22,Oficina,Alquiler,Girona,207,1953873,2005-06-10,Luisa
654,655,2004-08-22,Oficina,Venta,Girona,293,2787016,2005-03-23,Luisa
660,661,2004-08-23,Local,Venta,Girona,278,1730550,2004-12-09,María
661,662,2004-08-24,Parking,Alquiler,Girona,254,1963166,2005-07-27,Joaquín
663,664,2004-08-24,Local,Alquiler,Girona,252,2057832,2005-03-14,Luisa
664,665,2004-08-25,Local,Alquiler,Girona,163,1520627,2005-04-20,Pedro
673,674,2004-08-29,Parking,Venta,Girona,152,1392168,2005-08-04,Pedro
675,676,2004-08-29,Casa,Venta,Girona,47,311563,2004-12-27,Carmen
684,685,2004-08-31,Piso,Venta,Girona,97,662316,2005-04-27,Carmen
688,689,2004-09-02,Parking,Venta,Girona,64,622144,2005-07-05,María
690,691,2004-09-02,Casa,Alquiler,Girona,118,827062,2005-03-22,Joaquín
697,698,2004-09-05,Parking,Alquiler,Girona,187,789140,2005-05-16,Carmen
698,699,2004-09-05,Suelo,Alquiler,Girona,73,542974,2005-06-14,Luisa
699,700,2004-09-06,Local,Alquiler,Girona,299,1251315,2005-01-20,Luisa
700,701,2004-09-06,Casa,Venta,Girona,225,2023200,2004-12-27,Joaquín
701,702,2004-09-07,Piso,Alquiler,Girona,295,2553225,2005-01-14,Carmen
705,706,2004-09-08,Piso,Alquiler,Girona,258,1501560,2005-01-05,Joaquín
706,707,2004-09-08,Industrial,Venta,Girona,215,1713120,2005-05-27,Carmen
717,718,2004-09-11,Suelo,Alquiler,Girona,161,736092,2005-02-26,María
721,722,2004-09-12,Industrial,Alquiler,Girona,86,611546,2005-02-10,Carmen
722,723,2004-09-12,Casa,Alquiler,Girona,54,518508,2005-02-16,María
725,726,2004-09-13,Parking,Venta,Girona,112,1081360,2005-05-03,María
726,727,2004-09-15,Suelo,Alquiler,Girona,195,1168440,2004-12-30,Luisa
730,731,2004-09-16,Casa,Venta,Girona,109,555246,2005-04-10,Joaquín
732,733,2004-09-17,Oficina,Alquiler,Girona,164,1225244,2005-08-07,Jesús
747,748,2004-09-22,Industrial,Alquiler,Girona,228,2145480,2005-06-21,María
749,750,2004-09-23,Parking,Alquiler,Girona,294,1335936,2005-07-14,Carmen
750,751,2004-09-23,Parking,Venta,Girona,132,556116,2005-09-11,Luisa
760,761,2004-09-26,Local,Venta,Girona,50,411700,2005-01-05,Carmen
762,763,2004-09-27,Piso,Alquiler,Girona,291,2411808,2005-02-28,Joaquín
763,764,2004-09-27,Oficina,Alquiler,Girona,210,1122240,2005-08-27,Pedro
764,765,2004-09-28,Local,Alquiler,Girona,291,2354481,2005-01-26,Carmen
765,766,2004-09-29,Piso,Alquiler,Girona,204,1044480,2005-04-17,Jesús
767,768,2004-09-29,Piso,Venta,Girona,231,1213212,2005-06-24,Carmen
770,771,2004-10-04,Industrial,Venta,Girona,44,223564,2005-09-26,Luisa
781,782,2004-10-06,Suelo,Venta,Girona,74,299996,2005-09-02,María
782,783,2004-10-06,Oficina,Alquiler,Girona,219,1455693,2005-01-28,Joaquín
787,788,2004-10-07,Casa,Venta,Girona,92,853852,2005-09-25,Carmen
790,791,2004-10-08,Industrial,Venta,Girona,113,869196,2005-07-28,Jesús
797,798,2004-10-11,Piso,Venta,Girona,222,1478742,2005-09-24,Jesús
803,804,2004-10-13,Industrial,Venta,Girona,114,580032,2005-03-28,Jesús
805,806,2004-10-14,Oficina,Venta,Girona,43,415552,2005-01-16,Luisa
807,808,2004-10-15,Oficina,Alquiler,Girona,119,630224,2005-04-09,Joaquín
812,813,2004-10-17,Casa,Venta,Girona,138,733470,2005-04-04,Pedro
820,821,2004-10-19,Parking,Venta,Girona,161,1392006,2005-07-12,María
823,824,2004-10-21,Piso,Alquiler,Girona,60,484560,2005-08-24,Jesús
825,826,2004-10-21,Oficina,Alquiler,Girona,239,1709567,2005-06-10,Jesús
830,831,2004-10-24,Parking,Venta,Girona,115,880900,2005-07-04,Carmen
836,837,2004-10-27,Local,Venta,Girona,127,1021334,2005-05-21,Joaquín
837,838,2004-10-27,Piso,Alquiler,Girona,62,583110,2005-02-19,Joaquín
839,840,2004-10-27,Parking,Alquiler,Girona,114,1040478,2005-04-29,Carmen
840,841,2004-10-27,Piso,Venta,Girona,120,1061160,2005-04-13,Luisa
846,847,2004-10-31,Piso,Alquiler,Girona,121,731929,2005-06-27,Pedro
849,850,2004-11-01,Piso,Alquiler,Girona,159,1391091,2005-06-16,Carmen
850,851,2004-11-01,Casa,Alquiler,Girona,157,1032118,2005-06-16,Luisa
851,852,2004-11-02,Casa,Alquiler,Girona,237,1768020,2005-04-27,Luisa
854,855,2004-11-03,Suelo,Venta,Girona,223,1650200,2005-08-28,Carmen
856,857,2004-11-03,Industrial,Venta,Girona,238,2379048,2005-09-08,María
860,861,2004-11-03,Piso,Alquiler,Girona,96,891456,2005-07-28,Pedro
863,864,2004-11-06,Industrial,Venta,Girona,108,553608,2005-02-04,Luisa
864,865,2004-11-06,Parking,Alquiler,Girona,110,523160,2005-09-11,Joaquín
865,866,2004-11-07,Parking,Venta,Girona,136,1054544,2005-09-18,María
871,872,2004-11-09,Piso,Alquiler,Girona,185,1390460,2005-08-29,Jesús
874,875,2004-11-09,Oficina,Alquiler,Girona,147,1259202,2005-05-03,Pedro
882,883,2004-11-11,Piso,Venta,Girona,266,1370964,2005-10-22,María
883,884,2004-11-11,Piso,Venta,Girona,125,590875,2005-09-20,Carmen
885,886,2004-11-12,Piso,Venta,Girona,133,1191281,2005-06-28,Joaquín
890,891,2004-11-13,Casa,Venta,Girona,255,2543625,2005-08-29,Pedro
900,901,2004-11-16,Parking,Alquiler,Girona,294,1653456,2005-07-18,Pedro
904,905,2004-11-18,Local,Alquiler,Girona,116,479892,2005-11-11,Joaquín
907,908,2004-11-18,Parking,Venta,Girona,134,933444,2005-04-17,Pedro
913,914,2004-11-20,Piso,Venta,Girona,48,366480,2005-09-19,Pedro
914,915,2004-11-20,Oficina,Venta,Girona,285,1869885,2005-08-10,Jesús
923,924,2004-11-25,Parking,Alquiler,Girona,283,2213909,2005-05-10,Luisa
933,934,2004-11-29,Casa,Alquiler,Girona,228,2212740,2005-10-10,Jesús
935,936,2004-12-01,Parking,Alquiler,Girona,116,573040,2005-11-01,María
936,937,2004-12-01,Industrial,Alquiler,Girona,276,1932552,2005-10-20,María
938,939,2004-12-01,Industrial,Alquiler,Girona,216,1962360,2005-05-17,Pedro
943,944,2004-12-03,Piso,Alquiler,Girona,66,558030,2005-12-01,Carmen
945,946,2004-12-04,Piso,Venta,Girona,243,1447551,2005-09-13,Pedro
947,948,2004-12-05,Piso,Alquiler,Girona,237,1725597,2005-07-07,Pedro
949,950,2004-12-05,Piso,Venta,Girona,233,2153852,2005-03-11,Pedro
952,953,2004-12-07,Casa,Alquiler,Girona,240,1510320,2005-10-19,Carmen
954,955,2004-12-09,Suelo,Venta,Girona,200,1938400,2005-08-25,María
959,960,2004-12-10,Suelo,Venta,Girona,275,1732500,2005-07-10,Joaquín
960,961,2004-12-10,Parking,Alquiler,Girona,96,535584,2005-10-22,Carmen
963,964,2004-12-11,Suelo,Venta,Girona,185,1038590,2005-07-15,Luisa
964,965,2004-12-11,Industrial,Venta,Girona,56,525616,2005-08-15,Joaquín
966,967,2004-12-12,Piso,Venta,Girona,175,722925,2005-03-18,Carmen
969,970,2004-12-14,Piso,Alquiler,Girona,232,1193408,2005-06-07,Luisa
971,972,2004-12-14,Piso,Venta,Girona,219,1059303,2005-07-27,Joaquín
980,981,2004-12-18,Local,Venta,Girona,278,2273762,2005-11-30,Pedro
991,992,2004-12-22,Piso,Alquiler,Girona,281,2326118,2005-07-22,María
993,994,2004-12-22,Local,Venta,Girona,187,1346961,2005-12-20,Joaquín
995,996,2004-12-23,Parking,Alquiler,Girona,88,690184,2005-05-29,Carmen
996,997,2004-12-23,Industrial,Alquiler,Girona,66,448932,2005-09-01,Pedro
997,998,2004-12-23,Local,Venta,Girona,219,2101743,2005-07-30,Luisa
998,999,2004-12-23,Industrial,Venta,Girona,67,430743,2005-06-06,Pedro
1004,1005,2004-12-26,Oficina,Alquiler,Girona,159,1437360,2005-06-12,Luisa
1009,1010,2004-12-27,Parking,Venta,Girona,211,945702,2005-12-04,Luisa
1016,1017,2005-01-01,Parking,Venta,Girona,217,2101862,2005-10-23,Carmen
1020,1021,2005-01-02,Suelo,Alquiler,Girona,86,452962,2005-10-24,Joaquín
1022,1023,2005-01-03,Oficina,Venta,Girona,105,889980,2005-10-16,Pedro
1026,1027,2005-01-04,Casa,Alquiler,Girona,79,352972,2005-11-06,Joaquín
1033,1034,2005-01-06,Industrial,Alquiler,Girona,153,923355,2005-07-07,Luisa
1037,1038,2005-01-08,Piso,Alquiler,Girona,59,325326,2005-04-09,Carmen
1044,1045,2005-01-11,Parking,Alquiler,Girona,260,2402920,2005-10-09,Joaquín
1045,1046,2005-01-11,Suelo,Alquiler,Girona,240,1823280,2005-09-04,Luisa
1051,1052,2005-01-12,Casa,Venta,Girona,75,624600,2005-12-12,María
1052,1053,2005-01-13,Industrial,Venta,Girona,42,224280,2005-07-10,María
1055,1056,2005-01-15,Suelo,Alquiler,Girona,45,300105,2005-06-02,Carmen
1058,1059,2005-01-16,Oficina,Venta,Girona,133,573230,2005-09-20,Jesús
1063,1064,2005-01-19,Piso,Alquiler,Girona,80,607200,2005-11-20,Carmen
1065,1066,2005-01-20,Suelo,Venta,Girona,287,2808008,2005-06-24,Pedro
1070,1071,2005-01-21,Parking,Venta,Girona,118,1134452,2005-04-27,Carmen
1071,1072,2005-01-22,Piso,Alquiler,Girona,132,592152,2005-04-23,Carmen
1078,1079,2005-01-24,Oficina,Venta,Girona,91,777686,2005-10-19,Luisa
1083,1084,2005-01-25,Parking,Alquiler,Girona,287,1370138,2005-05-03,Joaquín
1092,1093,2005-01-31,Parking,Alquiler,Girona,222,2209344,2005-09-09,Carmen
1095,1096,2005-02-01,Local,Venta,Girona,64,539392,2005-08-03,Pedro
1098,1099,2005-02-02,Industrial,Alquiler,Girona,82,621314,2005-09-07,Luisa
1105,1106,2005-02-04,Oficina,Venta,Girona,141,1279434,2005-09-26,Carmen
1113,1114,2005-02-07,Industrial,Venta,Girona,76,499244,2005-07-04,Luisa
1116,1117,2005-02-08,Casa,Alquiler,Girona,154,1037498,2005-09-20,Luisa
1119,1120,2005-02-10,Local,Venta,Girona,180,1707660,2005-07-28,Joaquín
1121,1122,2005-02-11,Piso,Venta,Girona,228,1339044,2005-12-14,Pedro
1122,1123,2005-02-11,Oficina,Venta,Girona,157,879357,2005-05-17,Joaquín
1123,1124,2005-02-11,Piso,Venta,Girona,208,1215344,2005-05-27,Jesús
1128,1129,2005-02-14,Oficina,Alquiler,Girona,119,899640,2005-12-12,Pedro
1138,1139,2005-02-16,Industrial,Venta,Girona,96,742176,2005-12-15,Pedro
1151,1152,2005-02-19,Local,Venta,Girona,224,1966272,2005-12-02,Pedro
1156,1157,2005-02-20,Local,Venta,Girona,254,1614170,2006-01-18,María
1167,1168,2005-02-24,Piso,Venta,Girona,206,1136502,2006-01-22,Pedro
1171,1172,2005-02-24,Oficina,Venta,Girona,188,1697640,2005-08-04,Luisa
1174,1175,2005-02-26,Local,Alquiler,Girona,62,484592,2005-10-09,María
1181,1182,2005-03-01,Suelo,Venta,Girona,177,1203246,2006-02-20,Carmen
1182,1183,2005-03-01,Parking,Alquiler,Girona,45,360540,2005-09-02,María
1185,1186,2005-03-03,Casa,Alquiler,Girona,151,756208,2006-02-13,Luisa
1186,1187,2005-03-03,Industrial,Alquiler,Girona,50,442300,2005-06-30,María
1187,1188,2005-03-03,Parking,Alquiler,Girona,93,375813,2005-07-12,Pedro
1189,1190,2005-03-03,Parking,Venta,Girona,153,1401633,2005-09-14,Carmen
1191,1192,2005-03-04,Casa,Alquiler,Girona,235,2055310,2006-01-03,Jesús
1194,1195,2005-03-04,Piso,Alquiler,Girona,92,743360,2005-08-11,Pedro
1195,1196,2005-03-05,Suelo,Venta,Girona,124,614048,2005-07-13,Joaquín
1207,1208,2005-03-08,Suelo,Alquiler,Girona,236,1449512,2006-02-05,Joaquín
1208,1209,2005-03-08,Piso,Alquiler,Girona,91,395850,2005-12-10,Carmen
1213,1214,2005-03-10,Casa,Alquiler,Girona,145,655690,2005-06-08,María
1217,1218,2005-03-11,Piso,Venta,Girona,241,1729416,2005-09-18,Carmen
1222,1223,2005-03-12,Parking,Venta,Girona,181,1805475,2005-06-10,María
1224,1225,2005-03-14,Parking,Venta,Girona,164,785068,2006-01-22,Jesús
1226,1227,2005-03-14,Industrial,Alquiler,Girona,164,1526840,2005-10-20,María
1229,1230,2005-03-15,Suelo,Venta,Girona,268,2422720,2005-11-27,Carmen
1237,1238,2005-03-19,Casa,Venta,Girona,192,820608,2005-07-28,Luisa
1241,1242,2005-03-20,Piso,Alquiler,Girona,100,484200,2005-09-30,Pedro
1242,1243,2005-03-20,Industrial,Alquiler,Girona,52,269516,2005-08-21,Carmen
1244,1245,2005-03-20,Parking,Venta,Girona,276,1477428,2005-11-23,María
1249,1250,2005-03-23,Piso,Venta,Girona,163,1362843,2006-01-31,Luisa
