,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
1127,1128,2005-02-14,Parking,Venta,Barcelona,229,1859480,2006-01-06,Joaquín
1137,1138,2005-02-16,Casa,Venta,Barcelona,257,1066550,2005-09-23,Carmen
1142,1143,2005-02-17,Suelo,Alquiler,Barcelona,254,1394206,2005-05-28,Carmen
1143,1144,2005-02-17,Suelo,Alquiler,Barcelona,256,2176768,2006-02-13,Carmen
1147,1148,2005-02-18,Oficina,Alquiler,Barcelona,233,984192,2006-01-28,Jesús
1153,1154,2005-02-20,Piso,Alquiler,Barcelona,292,2865688,2005-08-21,Carmen
1157,1158,2005-02-20,Oficina,Venta,Barcelona,298,2436448,2005-08-13,Carmen
1159,1160,2005-02-21,Industrial,Venta,Barcelona,276,2148384,2005-10-12,Jesús
1184,1185,2005-03-02,Piso,Venta,Barcelona,236,1388388,2006-02-04,Joaquín
1188,1189,2005-03-03,Piso,Alquiler,Barcelona,255,1471605,2005-10-11,Carmen
1192,1193,2005-03-04,Casa,Alquiler,Barcelona,239,1320236,2005-08-03,Carmen
1203,1204,2005-03-07,Oficina,Venta,Barcelona,255,2151435,2005-08-26,Pedro
1204,1205,2005-03-07,Local,Venta,Barcelona,213,2105079,2005-07-25,Joaquín
1218,1219,2005-03-11,Suelo,Venta,Barcelona,251,2234653,2005-08-01,Luisa
1220,1221,2005-03-12,Local,Alquiler,Barcelona,269,2032295,2005-11-27,Joaquín
1243,1244,2005-03-20,Oficina,Alquiler,Barcelona,274,1152718,2005-07-31,Pedro
1246,1247,2005-03-22,Industrial,Venta,Barcelona,268,1557884,2005-12-09,Luisa
1297,1298,2005-04-08,Industrial,Venta,Barcelona,248,1179488,2005-12-26,Jesús
1305,1306,2005-04-14,Casa,Venta,Barcelona,274,2229812,2005-08-26,María
1315,1316,2005-04-17,Piso,Alquiler,Barcelona,223,1795819,2005-08-30,Luisa
1327,1328,2005-04-20,Parking,Alquiler,Barcelona,273,2306031,2005-09-25,Carmen
1342,1343,2005-04-25,Suelo,Alquiler,Barcelona,269,2292149,2006-01-22,Carmen
1352,1353,2005-04-27,Industrial,Alquiler,Barcelona,269,1702501,2005-12-10,Luisa
1353,1354,2005-04-28,Industrial,Venta,Barcelona,242,2418064,2005-10-24,Jesús
1371,1372,2005-05-04,Industrial,Venta,Barcelona,286,2633774,2005-09-01,Carmen
1373,1374,2005-05-04,Local,Venta,Barcelona,214,1287210,2005-12-21,Joaquín
1384,1385,2005-05-08,Parking,Venta,Barcelona,258,2066064,2005-11-25,María
1385,1386,2005-05-08,Casa,Alquiler,Barcelona,245,1244600,2006-01-03,Luisa
1393,1394,2005-05-09,Casa,Venta,Barcelona,254,2011934,2006-03-04,Jesús
1400,1401,2005-05-13,Casa,Venta,Barcelona,280,2349200,2006-04-13,Pedro
1418,1419,2005-05-21,Industrial,Alquiler,Barcelona,244,1300276,2006-03-21,Joaquín
1430,1431,2005-05-25,Piso,Venta,Barcelona,208,1792128,2006-04-15,Jesús
1436,1437,2005-05-27,Industrial,Venta,Barcelona,261,1435239,2006-03-22,Joaquín
1450,1451,2005-06-02,Suelo,Venta,Barcelona,269,1779435,2006-05-18,Jesús
1472,1473,2005-06-10,Piso,Venta,Barcelona,213,1955340,2006-04-23,Jesús
1483,1484,2005-06-13,Parking,Alquiler,Barcelona,282,2677590,2006-04-08,Luisa
1533,1534,2005-07-02,Local,Alquiler,Barcelona,217,1742293,2006-04-13,Pedro
1546,1547,2005-07-07,Piso,Venta,Barcelona,214,1258534,2006-01-27,María
1560,1561,2005-07-15,Casa,Alquiler,Barcelona,291,1823406,2006-05-02,Pedro
1571,1572,2005-07-18,Local,Alquiler,Barcelona,300,1716300,2006-04-21,María
1572,1573,2005-07-18,Local,Venta,Barcelona,202,1271388,2006-01-10,Joaquín
1573,1574,2005-07-18,Piso,Alquiler,Barcelona,203,1699719,2006-01-10,Jesús
1574,1575,2005-07-19,Industrial,Venta,Barcelona,275,1620575,2006-02-18,Joaquín
1591,1592,2005-07-24,Parking,Venta,Barcelona,207,1107864,2006-05-15,Luisa
1595,1596,2005-07-25,Suelo,Alquiler,Barcelona,264,2133120,2006-01-26,María
1604,1605,2005-07-30,Casa,Alquiler,Barcelona,260,1301560,2005-12-29,Carmen
1605,1606,2005-07-31,Piso,Alquiler,Barcelona,211,1951328,2006-01-03,Luisa
1626,1627,2005-08-06,Parking,Venta,Barcelona,245,1202705,2005-12-10,Jesús
1630,1631,2005-08-07,Local,Alquiler,Barcelona,300,1900200,2005-12-09,Pedro
1634,1635,2005-08-08,Piso,Alquiler,Barcelona,250,1669250,2006-01-04,María
1643,1644,2005-08-10,Local,Venta,Barcelona,269,2384954,2006-02-12,María
1657,1658,2005-08-16,Parking,Alquiler,Barcelona,232,1643256,2006-02-22,María
1658,1659,2005-08-16,Suelo,Alquiler,Barcelona,221,1069640,2006-06-01,Joaquín
1662,1663,2005-08-18,Parking,Alquiler,Barcelona,224,986048,2006-02-10,María
1666,1667,2005-08-22,Local,Venta,Barcelona,209,843106,2006-01-24,María
1684,1685,2005-08-28,Piso,Alquiler,Barcelona,254,1191260,2006-07-27,Pedro
1697,1698,2005-09-02,Industrial,Alquiler,Barcelona,213,1333593,2006-04-06,Jesús
1698,1699,2005-09-03,Industrial,Alquiler,Barcelona,202,1558430,2006-01-26,Jesús
1700,1701,2005-09-03,Piso,Venta,Barcelona,245,1517285,2006-05-07,Luisa
1709,1710,2005-09-07,Local,Venta,Barcelona,272,2074000,2006-08-14,Joaquín
1710,1711,2005-09-08,Local,Venta,Barcelona,299,1424436,2006-01-17,Carmen
1717,1718,2005-09-09,Local,Venta,Barcelona,218,1911424,2006-07-22,Carmen
1719,1720,2005-09-10,Local,Venta,Barcelona,254,1668526,2005-12-29,Carmen
1733,1734,2005-09-13,Oficina,Alquiler,Barcelona,223,974956,2006-07-23,Luisa
1765,1766,2005-09-29,Oficina,Venta,Barcelona,231,2299374,2006-05-15,Jesús
1777,1778,2005-10-02,Local,Alquiler,Barcelona,204,1929228,2006-05-14,Pedro
1781,1782,2005-10-02,Casa,Alquiler,Barcelona,258,1146552,2006-07-26,Luisa
1792,1793,2005-10-05,Casa,Alquiler,Barcelona,274,1753052,2006-02-28,Joaquín
1794,1795,2005-10-05,Oficina,Venta,Barcelona,224,1420160,2006-05-03,Jesús
1797,1798,2005-10-06,Local,Alquiler,Barcelona,211,1522998,2006-06-02,Luisa
1804,1805,2005-10-07,Suelo,Venta,Barcelona,242,1963104,2006-07-19,Pedro
1822,1823,2005-10-15,Parking,Alquiler,Barcelona,271,2334123,2006-08-02,Joaquín
1825,1826,2005-10-16,Suelo,Venta,Barcelona,228,994536,2006-03-27,Joaquín
1827,1828,2005-10-16,Local,Venta,Barcelona,214,1687604,2006-01-22,Luisa
1839,1840,2005-10-22,Suelo,Alquiler,Barcelona,276,1544496,2006-05-12,Carmen
1849,1850,2005-10-28,Parking,Alquiler,Barcelona,218,991900,2006-05-28,Jesús
1852,1853,2005-10-28,Industrial,Alquiler,Barcelona,224,1422624,2006-03-12,Luisa
1853,1854,2005-10-28,Suelo,Venta,Barcelona,249,1878954,2006-10-28,Luisa
1861,1862,2005-11-02,Parking,Venta,Barcelona,249,2221329,2006-05-12,Pedro
1883,1884,2005-11-10,Local,Alquiler,Barcelona,246,2216214,2006-04-17,María
1924,1925,2005-11-25,Industrial,Alquiler,Barcelona,276,1817736,2006-09-14,Joaquín
1935,1936,2005-11-28,Piso,Venta,Barcelona,249,1780350,2006-03-14,Luisa
1945,1946,2005-12-03,Piso,Alquiler,Barcelona,264,2147112,2006-05-10,Joaquín
1956,1957,2005-12-08,Oficina,Alquiler,Barcelona,293,2868470,2006-03-18,Luisa
1961,1962,2005-12-11,Suelo,Venta,Barcelona,238,2203166,2006-05-01,Carmen
1968,1969,2005-12-16,Piso,Venta,Barcelona,259,1842785,2006-07-19,María
1978,1979,2005-12-20,Industrial,Alquiler,Barcelona,238,2136288,2006-09-01,María
1981,1982,2005-12-21,Piso,Venta,Barcelona,248,1036392,2006-12-03,Luisa
1982,1983,2005-12-21,Suelo,Alquiler,Barcelona,243,2390634,2006-06-26,Luisa
1988,1989,2005-12-22,Casa,Venta,Barcelona,276,2548584,2006-10-13,Jesús
1994,1995,2005-12-23,Local,Alquiler,Barcelona,267,2263626,2006-07-04,Pedro
2000,2001,2005-12-25,Suelo,Venta,Barcelona,265,1348055,2006-07-19,Joaquín
2001,2002,2005-12-25,Casa,Venta,Barcelona,283,1653852,2006-08-28,María
2007,2008,2005-12-27,Casa,Alquiler,Barcelona,221,1401361,2006-03-30,Jesús
2016,2017,2005-12-31,Parking,Alquiler,Barcelona,202,1329968,2006-10-22,María
2025,2026,2006-01-03,Oficina,Alquiler,Barcelona,216,1109808,2006-06-24,Joaquín
2029,2030,2006-01-03,Casa,Alquiler,Barcelona,229,2219468,2006-07-12,Luisa
2037,2038,2006-01-06,Local,Alquiler,Barcelona,283,2107784,2006-04-19,María
2046,2047,2006-01-09,Piso,Alquiler,Barcelona,249,2053005,2006-07-24,Luisa
2048,2049,2006-01-10,Casa,Venta,Barcelona,275,1856525,2006-09-04,Jesús
2054,2055,2006-01-11,Industrial,Alquiler,Barcelona,271,1196465,2006-08-05,Jesús
2059,2060,2006-01-13,Oficina,Venta,Barcelona,207,1437408,2006-08-21,María
2062,2063,2006-01-13,Suelo,Venta,Barcelona,274,1450556,2006-09-03,María
2069,2070,2006-01-15,Suelo,Venta,Barcelona,245,2399040,2006-05-31,Joaquín
2075,2076,2006-01-17,Piso,Venta,Barcelona,267,1074675,2006-10-20,Carmen
2078,2079,2006-01-17,Industrial,Alquiler,Barcelona,221,1411969,2006-07-26,Pedro
2086,2087,2006-01-20,Parking,Alquiler,Barcelona,265,2119735,2006-10-15,Pedro
2103,2104,2006-01-25,Oficina,Venta,Barcelona,223,1970874,2006-06-08,Joaquín
2109,2110,2006-01-26,Suelo,Alquiler,Barcelona,273,1528254,2006-06-15,Pedro
2125,2126,2006-02-01,Piso,Venta,Barcelona,252,2381400,2006-06-13,María
2128,2129,2006-02-02,Casa,Alquiler,Barcelona,234,1286766,2006-10-12,Luisa
2149,2150,2006-02-08,Industrial,Alquiler,Barcelona,211,1155436,2006-12-27,Pedro
2151,2152,2006-02-09,Piso,Venta,Barcelona,293,1298869,2006-07-11,Jesús
2152,2153,2006-02-09,Parking,Venta,Barcelona,227,2001232,2006-12-06,María
2158,2159,2006-02-11,Oficina,Venta,Barcelona,233,1157544,2006-06-10,Jesús
2185,2186,2006-02-20,Parking,Alquiler,Barcelona,228,1815336,2006-06-10,Jesús
2192,2193,2006-02-21,Parking,Alquiler,Barcelona,260,2470000,2006-05-27,Luisa
2200,2201,2006-02-24,Industrial,Alquiler,Barcelona,257,1598283,2007-02-03,Luisa
2206,2207,2006-02-28,Casa,Venta,Barcelona,281,2577332,2006-07-03,Carmen
2211,2212,2006-03-01,Local,Venta,Barcelona,287,1351196,2006-06-18,Jesús
2217,2218,2006-03-03,Casa,Alquiler,Barcelona,243,1918728,2006-07-26,Luisa
2223,2224,2006-03-05,Parking,Venta,Barcelona,293,1996209,2006-07-26,Jesús
2231,2232,2006-03-07,Parking,Venta,Barcelona,227,2257515,2007-02-06,Luisa
2275,2276,2006-03-26,Casa,Alquiler,Barcelona,235,2145315,2007-02-09,Joaquín
2280,2281,2006-03-28,Suelo,Alquiler,Barcelona,254,1558036,2007-03-15,María
2291,2292,2006-03-31,Suelo,Venta,Barcelona,295,1490930,2007-03-14,Joaquín
2313,2314,2006-04-07,Suelo,Alquiler,Barcelona,234,1475136,2006-09-18,Carmen
2333,2334,2006-04-13,Industrial,Venta,Barcelona,288,1781568,2006-09-24,María
2354,2355,2006-04-22,Casa,Venta,Barcelona,289,1504823,2006-10-31,Luisa
2360,2361,2006-04-26,Local,Venta,Barcelona,218,2136182,2007-01-14,Luisa
2377,2378,2006-05-02,Local,Venta,Barcelona,292,1538256,2007-05-01,Jesús
2378,2379,2006-05-02,Piso,Venta,Barcelona,233,1220454,2007-04-18,Carmen
2390,2391,2006-05-08,Casa,Alquiler,Barcelona,257,1591344,2007-01-19,Luisa
2396,2397,2006-05-12,Parking,Alquiler,Barcelona,236,2001280,2007-03-04,Jesús
2404,2405,2006-05-14,Parking,Alquiler,Barcelona,210,1371720,2007-03-26,Pedro
2423,2424,2006-05-20,Oficina,Alquiler,Barcelona,225,1752975,2006-09-22,Jesús
2424,2425,2006-05-20,Suelo,Venta,Barcelona,285,2603190,2006-11-15,Joaquín
2426,2427,2006-05-21,Parking,Venta,Barcelona,213,928041,2006-12-10,Luisa
2431,2432,2006-05-22,Local,Alquiler,Barcelona,232,1699168,2006-08-27,Carmen
2440,2441,2006-05-27,Piso,Alquiler,Barcelona,207,1381104,2007-04-30,María
2448,2449,2006-05-29,Suelo,Venta,Barcelona,228,2203620,2007-03-29,Joaquín
2459,2460,2006-06-02,Casa,Alquiler,Barcelona,209,2017268,2007-01-26,Luisa
2468,2469,2006-06-04,Casa,Venta,Barcelona,260,1616680,2007-04-25,Carmen
2481,2482,2006-06-06,Industrial,Venta,Barcelona,215,984915,2006-12-07,María
2503,2504,2006-06-13,Local,Venta,Barcelona,245,2090340,,
2522,2523,2006-06-21,Casa,Alquiler,Barcelona,241,1327669,2007-03-10,Jesús
2528,2529,2006-06-24,Suelo,Alquiler,Barcelona,281,1521615,2007-04-19,Carmen
2553,2554,2006-07-04,Industrial,Alquiler,Barcelona,275,2415325,2006-12-17,Carmen
2554,2555,2006-07-04,Casa,Venta,Barcelona,267,2091144,2006-12-24,Luisa
2555,2556,2006-07-04,Oficina,Venta,Barcelona,250,1298500,2006-11-24,Joaquín
2556,2557,2006-07-05,Parking,Alquiler,Barcelona,283,1470185,2006-12-18,Jesús
2557,2558,2006-07-06,Industrial,Alquiler,Barcelona,212,1758964,2007-03-24,Luisa
2562,2563,2006-07-08,Piso,Alquiler,Barcelona,245,1284045,2007-05-07,Joaquín
2573,2574,2006-07-11,Parking,Venta,Barcelona,256,2470912,,
2583,2584,2006-07-17,Suelo,Alquiler,Barcelona,234,1016964,2007-03-18,Luisa
2586,2587,2006-07-18,Casa,Venta,Barcelona,229,1634373,2006-12-19,Jesús
2595,2596,2006-07-21,Oficina,Venta,Barcelona,258,1700994,2006-10-23,Jesús
2612,2613,2006-07-28,Casa,Venta,Barcelona,294,2618364,,
2614,2615,2006-07-28,Casa,Alquiler,Barcelona,239,2199995,2007-03-04,Jesús
2643,2644,2006-08-09,Industrial,Venta,Barcelona,282,2205240,,
2646,2647,2006-08-11,Industrial,Alquiler,Barcelona,270,1705320,2007-03-26,Luisa
2647,2648,2006-08-11,Local,Alquiler,Barcelona,220,1772540,2006-12-25,Pedro
2665,2666,2006-08-21,Oficina,Venta,Barcelona,258,2539236,2007-01-11,Joaquín
2669,2670,2006-08-22,Suelo,Alquiler,Barcelona,215,1694630,,
2689,2690,2006-08-29,Local,Venta,Barcelona,272,2399312,2006-12-28,Luisa
2696,2697,2006-08-31,Oficina,Venta,Barcelona,298,2977318,,
2702,2703,2006-09-04,Casa,Venta,Barcelona,289,2534241,2007-01-28,María
2703,2704,2006-09-04,Casa,Alquiler,Barcelona,221,1556282,,
2721,2722,2006-09-10,Parking,Venta,Barcelona,251,2180939,,
2730,2731,2006-09-13,Piso,Venta,Barcelona,294,2885316,2007-02-13,María
2750,2751,2006-09-21,Industrial,Alquiler,Barcelona,279,1262196,2007-04-24,Jesús
2753,2754,2006-09-23,Piso,Venta,Barcelona,254,2001266,2007-02-10,Luisa
2766,2767,2006-09-29,Industrial,Venta,Barcelona,216,1734264,2007-05-06,Pedro
2767,2768,2006-09-29,Casa,Venta,Barcelona,258,1536906,,
2772,2773,2006-10-02,Piso,Venta,Barcelona,292,1536212,,
2783,2784,2006-10-06,Oficina,Venta,Barcelona,272,2008176,,
2799,2800,2006-10-11,Casa,Venta,Barcelona,212,2108128,,
2812,2813,2006-10-17,Industrial,Venta,Barcelona,292,1905300,2007-03-12,Carmen
2825,2826,2006-10-23,Industrial,Alquiler,Barcelona,242,1250172,2007-03-08,María
2849,2850,2006-10-31,Parking,Venta,Barcelona,285,1638750,2007-05-04,Carmen
2856,2857,2006-11-03,Suelo,Alquiler,Barcelona,283,2569923,2007-03-28,Pedro
2869,2870,2006-11-05,Casa,Alquiler,Barcelona,212,1357648,2007-04-25,Luisa
2887,2888,2006-11-11,Local,Alquiler,Barcelona,239,1197390,,
2891,2892,2006-11-13,Industrial,Venta,Barcelona,262,2517034,,
2930,2931,2006-11-29,Local,Venta,Barcelona,230,1847590,,
2933,2934,2006-11-30,Casa,Venta,Barcelona,261,1752093,,
2935,2936,2006-11-30,Casa,Venta,Barcelona,219,883446,,
2940,2941,2006-12-03,Piso,Venta,Barcelona,274,2474220,,
2942,2943,2006-12-04,Piso,Venta,Barcelona,261,2198403,2007-03-09,Joaquín
2970,2971,2006-12-14,Industrial,Alquiler,Barcelona,291,2797092,,
2985,2986,2006-12-19,Casa,Venta,Barcelona,281,2244066,2007-03-26,Joaquín
2994,2995,2006-12-23,Parking,Venta,Barcelona,237,1997436,,
2998,2999,2006-12-24,Suelo,Venta,Barcelona,263,1403631,,
3012,3013,2006-12-29,Oficina,Venta,Barcelona,257,1245165,,
3016,3017,2006-12-30,Casa,Alquiler,Barcelona,264,1060488,2007-04-28,Joaquín
3044,3045,2007-01-10,Piso,Alquiler,Barcelona,222,1296258,,
3045,3046,2007-01-10,Parking,Venta,Barcelona,233,1077858,2007-04-30,María
3050,3051,2007-01-11,Casa,Venta,Barcelona,259,1369333,,
3056,3057,2007-01-13,Suelo,Venta,Barcelona,217,1578675,,
