,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
692,693,2004-09-03,Suelo,Venta,Barcelona,269,1722407,2004-12-21,Jesús
695,696,2004-09-04,Suelo,Alquiler,Tarragona,256,1379328,2005-03-27,Luisa
726,727,2004-09-15,Suelo,Alquiler,Girona,195,1168440,2004-12-30,Luisa
737,738,2004-09-19,Suelo,Alquiler,Lleida,294,1201578,2005-01-31,Luisa
741,742,2004-09-22,Suelo,Venta,Barcelona,218,1330236,2004-12-27,Pedro
746,747,2004-09-22,Suelo,Alquiler,Barcelona,178,1355470,2004-12-24,María
771,772,2004-10-04,Suelo,Venta,Barcelona,277,1363948,2005-01-02,Jesús
780,781,2004-10-06,Suelo,Alquiler,Lleida,158,1217390,2005-04-27,Luisa
798,799,2004-10-11,Suelo,Alquiler,Tarragona,278,2209822,2005-02-27,Jesús
801,802,2004-10-13,Suelo,Venta,Lleida,114,1106028,2005-02-27,María
806,807,2004-10-15,Suelo,Alquiler,Tarragona,259,1891736,2005-07-18,María
835,836,2004-10-25,Suelo,Venta,Tarragona,274,2124596,2005-02-21,Carmen
845,846,2004-10-31,Suelo,Alquiler,Tarragona,246,2214984,2005-09-22,Joaquín
854,855,2004-11-03,Suelo,Venta,Girona,223,1650200,2005-08-28,Carmen
886,887,2004-11-13,Suelo,Alquiler,Barcelona,160,1356160,2005-11-08,Luisa
902,903,2004-11-17,Suelo,Alquiler,Tarragona,151,1029367,2005-05-05,Carmen
911,912,2004-11-20,Suelo,Alquiler,Lleida,200,1967400,2005-08-30,Pedro
912,913,2004-11-20,Suelo,Alquiler,Lleida,250,1676500,2005-08-30,Pedro
920,921,2004-11-24,Suelo,Venta,Tarragona,163,1273030,2005-06-16,Luisa
922,923,2004-11-24,Suelo,Venta,Tarragona,257,1440742,2005-07-09,Carmen
925,926,2004-11-25,Suelo,Alquiler,Barcelona,298,2376550,2005-10-19,Luisa
930,931,2004-11-27,Suelo,Venta,Lleida,223,2053384,2005-11-13,Carmen
954,955,2004-12-09,Suelo,Venta,Girona,200,1938400,2005-08-25,María
959,960,2004-12-10,Suelo,Venta,Girona,275,1732500,2005-07-10,Joaquín
963,964,2004-12-11,Suelo,Venta,Girona,185,1038590,2005-07-15,Luisa
976,977,2004-12-16,Suelo,Alquiler,Barcelona,199,1494490,2005-04-04,Joaquín
983,984,2004-12-19,Suelo,Alquiler,Lleida,278,1678286,2005-04-20,Jesús
985,986,2004-12-20,Suelo,Alquiler,Lleida,212,1753240,2005-05-14,Joaquín
1005,1006,2004-12-26,Suelo,Venta,Lleida,215,1706240,2005-04-25,Pedro
1042,1043,2005-01-11,Suelo,Alquiler,Tarragona,186,1844004,2005-06-19,Pedro
1045,1046,2005-01-11,Suelo,Alquiler,Girona,240,1823280,2005-09-04,Luisa
1065,1066,2005-01-20,Suelo,Venta,Girona,287,2808008,2005-06-24,Pedro
1097,1098,2005-02-01,Suelo,Venta,Barcelona,262,1960808,2005-09-11,Pedro
1139,1140,2005-02-16,Suelo,Venta,Tarragona,140,1318660,2005-10-16,Pedro
1142,1143,2005-02-17,Suelo,Alquiler,Barcelona,254,1394206,2005-05-28,Carmen
1143,1144,2005-02-17,Suelo,Alquiler,Barcelona,256,2176768,2006-02-13,Carmen
1152,1153,2005-02-19,Suelo,Venta,Lleida,272,2021232,2005-10-16,Jesús
1160,1161,2005-02-22,Suelo,Venta,Lleida,197,1594715,2006-01-15,Luisa
1164,1165,2005-02-23,Suelo,Alquiler,Lleida,214,1665134,2005-10-21,Pedro
1181,1182,2005-03-01,Suelo,Venta,Girona,177,1203246,2006-02-20,Carmen
1201,1202,2005-03-07,Suelo,Alquiler,Tarragona,139,1100046,2005-08-28,María
1207,1208,2005-03-08,Suelo,Alquiler,Girona,236,1449512,2006-02-05,Joaquín
1209,1210,2005-03-09,Suelo,Alquiler,Lleida,247,1504477,2006-01-03,Jesús
1218,1219,2005-03-11,Suelo,Venta,Barcelona,251,2234653,2005-08-01,Luisa
1229,1230,2005-03-15,Suelo,Venta,Girona,268,2422720,2005-11-27,Carmen
1230,1231,2005-03-16,Suelo,Venta,Barcelona,130,1292980,2005-11-11,Luisa
1260,1261,2005-03-26,Suelo,Alquiler,Tarragona,187,1194930,2006-02-08,Jesús
1271,1272,2005-03-30,Suelo,Alquiler,Girona,216,1500984,2005-10-23,Joaquín
1286,1287,2005-04-05,Suelo,Venta,Barcelona,194,1612334,2005-09-21,Jesús
1300,1301,2005-04-10,Suelo,Venta,Tarragona,299,2531334,2005-12-18,Carmen
1342,1343,2005-04-25,Suelo,Alquiler,Barcelona,269,2292149,2006-01-22,Carmen
1355,1356,2005-04-28,Suelo,Venta,Barcelona,161,1421308,2005-11-12,Pedro
1372,1373,2005-05-04,Suelo,Venta,Lleida,224,2211328,2006-02-23,Pedro
1391,1392,2005-05-09,Suelo,Alquiler,Girona,235,1046925,2005-12-05,Carmen
1399,1400,2005-05-13,Suelo,Venta,Lleida,190,1670100,2005-11-10,María
1402,1403,2005-05-14,Suelo,Alquiler,Girona,254,2417572,2005-09-20,María
1427,1428,2005-05-24,Suelo,Alquiler,Tarragona,195,1539135,2005-10-02,Luisa
1450,1451,2005-06-02,Suelo,Venta,Barcelona,269,1779435,2006-05-18,Jesús
1452,1453,2005-06-04,Suelo,Alquiler,Lleida,258,1687836,2006-03-25,María
1488,1489,2005-06-15,Suelo,Venta,Lleida,144,1323792,2005-09-17,Jesús
1493,1494,2005-06-17,Suelo,Alquiler,Tarragona,201,1471320,2006-03-11,Carmen
1495,1496,2005-06-18,Suelo,Venta,Lleida,278,2520904,2006-05-12,Luisa
1505,1506,2005-06-22,Suelo,Alquiler,Girona,256,2512640,2006-03-16,Jesús
1516,1517,2005-06-28,Suelo,Alquiler,Girona,139,1217501,2005-11-20,Joaquín
1539,1540,2005-07-05,Suelo,Alquiler,Tarragona,227,2223919,2005-11-19,Joaquín
1562,1563,2005-07-15,Suelo,Venta,Girona,206,1881810,2006-07-10,Joaquín
1578,1579,2005-07-20,Suelo,Venta,Tarragona,141,1207101,2006-02-20,María
1580,1581,2005-07-21,Suelo,Alquiler,Tarragona,233,2224917,2005-10-27,Jesús
1582,1583,2005-07-22,Suelo,Alquiler,Girona,300,1832100,2006-05-02,Carmen
1595,1596,2005-07-25,Suelo,Alquiler,Barcelona,264,2133120,2006-01-26,María
1598,1599,2005-07-26,Suelo,Alquiler,Girona,245,1311730,2006-01-06,Pedro
1632,1633,2005-08-07,Suelo,Venta,Lleida,201,1522977,2005-11-24,Carmen
1635,1636,2005-08-08,Suelo,Venta,Girona,224,1448384,2005-12-20,Joaquín
1658,1659,2005-08-16,Suelo,Alquiler,Barcelona,221,1069640,2006-06-01,Joaquín
1659,1660,2005-08-16,Suelo,Alquiler,Lleida,212,1926868,2005-11-24,Carmen
1692,1693,2005-08-30,Suelo,Venta,Lleida,233,2171327,2006-01-09,Jesús
1728,1729,2005-09-11,Suelo,Venta,Tarragona,185,1230990,2006-05-19,Jesús
1804,1805,2005-10-07,Suelo,Venta,Barcelona,242,1963104,2006-07-19,Pedro
1837,1838,2005-10-20,Suelo,Alquiler,Tarragona,214,1642664,2006-08-29,Luisa
1839,1840,2005-10-22,Suelo,Alquiler,Barcelona,276,1544496,2006-05-12,Carmen
1853,1854,2005-10-28,Suelo,Venta,Barcelona,249,1878954,2006-10-28,Luisa
1860,1861,2005-11-02,Suelo,Venta,Lleida,228,1944840,2006-10-10,María
1869,1870,2005-11-04,Suelo,Venta,Girona,191,1895293,2006-07-21,María
1881,1882,2005-11-09,Suelo,Alquiler,Lleida,186,1713990,2006-08-28,María
1884,1885,2005-11-12,Suelo,Venta,Tarragona,225,1300500,2006-07-24,Carmen
1894,1895,2005-11-14,Suelo,Venta,Lleida,280,1720320,2006-04-05,María
1897,1898,2005-11-16,Suelo,Alquiler,Lleida,163,1179957,2006-06-06,María
1909,1910,2005-11-21,Suelo,Alquiler,Tarragona,185,1179190,2006-03-14,Luisa
1919,1920,2005-11-23,Suelo,Venta,Girona,243,2347137,2006-07-19,María
1922,1923,2005-11-24,Suelo,Alquiler,Tarragona,287,1276289,2006-04-19,María
1936,1937,2005-11-28,Suelo,Venta,Girona,188,1265992,2006-10-21,Luisa
1961,1962,2005-12-11,Suelo,Venta,Barcelona,238,2203166,2006-05-01,Carmen
1982,1983,2005-12-21,Suelo,Alquiler,Barcelona,243,2390634,2006-06-26,Luisa
1989,1990,2005-12-22,Suelo,Alquiler,Tarragona,203,2021880,2006-04-29,Joaquín
2000,2001,2005-12-25,Suelo,Venta,Barcelona,265,1348055,2006-07-19,Joaquín
2060,2061,2006-01-13,Suelo,Venta,Lleida,261,1615851,2006-12-25,Jesús
2062,2063,2006-01-13,Suelo,Venta,Barcelona,274,1450556,2006-09-03,María
2069,2070,2006-01-15,Suelo,Venta,Barcelona,245,2399040,2006-05-31,Joaquín
2079,2080,2006-01-18,Suelo,Venta,Girona,234,2049606,2006-04-21,María
2089,2090,2006-01-21,Suelo,Alquiler,Lleida,178,1104846,2006-06-08,Jesús
2090,2091,2006-01-23,Suelo,Venta,Lleida,171,1298403,2006-08-31,Carmen
2109,2110,2006-01-26,Suelo,Alquiler,Barcelona,273,1528254,2006-06-15,Pedro
2131,2132,2006-02-03,Suelo,Alquiler,Tarragona,210,1482810,2006-11-23,Carmen
2166,2167,2006-02-15,Suelo,Venta,Barcelona,149,1436211,2007-02-01,María
2168,2169,2006-02-15,Suelo,Venta,Tarragona,227,2069786,2006-10-16,Luisa
2173,2174,2006-02-16,Suelo,Venta,Lleida,188,1541976,2006-07-19,Joaquín
2175,2176,2006-02-16,Suelo,Alquiler,Tarragona,276,1302720,2006-11-09,María
2180,2181,2006-02-17,Suelo,Venta,Lleida,153,1140156,2006-06-30,Joaquín
2224,2225,2006-03-05,Suelo,Venta,Tarragona,243,1552041,2006-12-03,Luisa
2227,2228,2006-03-06,Suelo,Venta,Tarragona,176,1463264,2006-12-21,Pedro
2232,2233,2006-03-07,Suelo,Alquiler,Girona,162,1202850,2006-11-30,Pedro
2240,2241,2006-03-11,Suelo,Alquiler,Girona,258,1930614,2006-07-07,Joaquín
2248,2249,2006-03-14,Suelo,Venta,Girona,229,1243699,2007-02-11,María
2280,2281,2006-03-28,Suelo,Alquiler,Barcelona,254,1558036,2007-03-15,María
2286,2287,2006-03-30,Suelo,Venta,Tarragona,230,1690730,2006-11-15,Carmen
2291,2292,2006-03-31,Suelo,Venta,Barcelona,295,1490930,2007-03-14,Joaquín
2313,2314,2006-04-07,Suelo,Alquiler,Barcelona,234,1475136,2006-09-18,Carmen
2341,2342,2006-04-17,Suelo,Venta,Lleida,244,1386164,2007-03-27,María
2357,2358,2006-04-23,Suelo,Venta,Girona,287,1567020,2006-08-17,Carmen
2358,2359,2006-04-25,Suelo,Alquiler,Girona,193,1363352,2007-04-02,Carmen
2370,2371,2006-04-29,Suelo,Venta,Lleida,270,2364390,2007-04-02,Luisa
2405,2406,2006-05-14,Suelo,Alquiler,Tarragona,197,1840571,2006-10-10,Luisa
2408,2409,2006-05-14,Suelo,Alquiler,Lleida,195,1790490,2006-12-16,Carmen
2424,2425,2006-05-20,Suelo,Venta,Barcelona,285,2603190,2006-11-15,Joaquín
2425,2426,2006-05-20,Suelo,Venta,Girona,247,2320565,2007-05-01,Jesús
2430,2431,2006-05-22,Suelo,Venta,Lleida,271,2303500,2007-01-22,Luisa
2448,2449,2006-05-29,Suelo,Venta,Barcelona,228,2203620,2007-03-29,Joaquín
2463,2464,2006-06-03,Suelo,Venta,Tarragona,262,1843694,2006-12-29,Carmen
2476,2477,2006-06-06,Suelo,Alquiler,Lleida,217,1363411,2006-12-18,Carmen
2477,2478,2006-06-06,Suelo,Venta,Girona,294,2353176,2006-10-26,Pedro
2487,2488,2006-06-08,Suelo,Alquiler,Tarragona,255,2380170,2006-09-30,Pedro
2488,2489,2006-06-09,Suelo,Alquiler,Lleida,267,2211294,2007-05-06,Joaquín
2507,2508,2006-06-15,Suelo,Venta,Girona,204,1267452,,
2526,2527,2006-06-23,Suelo,Venta,Lleida,298,2458798,2006-12-10,Jesús
2528,2529,2006-06-24,Suelo,Alquiler,Barcelona,281,1521615,2007-04-19,Carmen
2540,2541,2006-06-30,Suelo,Venta,Lleida,209,1844425,2007-04-10,Pedro
2550,2551,2006-07-02,Suelo,Alquiler,Tarragona,187,1059916,2006-10-03,Carmen
2570,2571,2006-07-10,Suelo,Venta,Tarragona,191,1127473,2007-04-01,Luisa
2583,2584,2006-07-17,Suelo,Alquiler,Barcelona,234,1016964,2007-03-18,Luisa
2585,2586,2006-07-18,Suelo,Alquiler,Lleida,252,1889748,2006-11-23,Luisa
2589,2590,2006-07-19,Suelo,Alquiler,Lleida,273,2682225,2007-02-04,Pedro
2590,2591,2006-07-19,Suelo,Venta,Tarragona,213,1359579,2007-02-24,Carmen
2620,2621,2006-07-31,Suelo,Venta,Tarragona,194,1476534,2006-11-27,Luisa
2626,2627,2006-08-02,Suelo,Venta,Girona,259,1202537,2007-04-16,María
2628,2629,2006-08-02,Suelo,Venta,Tarragona,295,1706280,2007-02-03,Joaquín
2633,2634,2006-08-06,Suelo,Venta,Girona,234,1994382,2007-03-04,María
2662,2663,2006-08-17,Suelo,Alquiler,Girona,116,1041448,,
2669,2670,2006-08-22,Suelo,Alquiler,Barcelona,215,1694630,,
2676,2677,2006-08-24,Suelo,Venta,Lleida,214,1114940,,
2681,2682,2006-08-26,Suelo,Venta,Lleida,269,1971501,,
2694,2695,2006-08-30,Suelo,Venta,Girona,186,1695948,2007-03-23,Pedro
2700,2701,2006-09-03,Suelo,Venta,Girona,203,1191610,2006-12-24,María
2735,2736,2006-09-16,Suelo,Alquiler,Lleida,224,1956864,2007-01-28,Carmen
2741,2742,2006-09-19,Suelo,Venta,Lleida,182,1298752,,
2745,2746,2006-09-20,Suelo,Venta,Barcelona,131,1134984,,
2746,2747,2006-09-20,Suelo,Alquiler,Tarragona,208,2066688,,
2752,2753,2006-09-22,Suelo,Venta,Lleida,138,1317210,2007-01-07,María
2764,2765,2006-09-28,Suelo,Venta,Lleida,115,1094225,,
2765,2766,2006-09-28,Suelo,Alquiler,Girona,194,1519214,,
2773,2774,2006-10-02,Suelo,Alquiler,Girona,271,1780199,2007-03-20,Carmen
2785,2786,2006-10-07,Suelo,Venta,Tarragona,215,1015015,2007-03-03,Carmen
2800,2801,2006-10-13,Suelo,Venta,Tarragona,189,1794366,,
2807,2808,2006-10-14,Suelo,Alquiler,Tarragona,293,2560527,,
2829,2830,2006-10-24,Suelo,Alquiler,Tarragona,187,1469446,2007-03-31,Joaquín
2842,2843,2006-10-29,Suelo,Alquiler,Lleida,245,1240925,,
2856,2857,2006-11-03,Suelo,Alquiler,Barcelona,283,2569923,2007-03-28,Pedro
2894,2895,2006-11-14,Suelo,Venta,Tarragona,124,1014196,,
2909,2910,2006-11-23,Suelo,Alquiler,Tarragona,125,1166375,,
2915,2916,2006-11-24,Suelo,Venta,Tarragona,176,1185536,,
2946,2947,2006-12-06,Suelo,Venta,Barcelona,186,1367100,,
2957,2958,2006-12-09,Suelo,Alquiler,Girona,193,1059956,2007-03-10,María
2978,2979,2006-12-16,Suelo,Alquiler,Girona,152,1147144,,
2998,2999,2006-12-24,Suelo,Venta,Barcelona,263,1403631,,
3009,3010,2006-12-28,Suelo,Alquiler,Girona,292,1751124,,
3038,3039,2007-01-09,Suelo,Alquiler,Barcelona,185,1156990,,
3039,3040,2007-01-09,Suelo,Alquiler,Lleida,238,1108128,,
3056,3057,2007-01-13,Suelo,Venta,Barcelona,217,1578675,,
3059,3060,2007-01-14,Suelo,Alquiler,Barcelona,289,2427311,,
3071,3072,2007-01-18,Suelo,Alquiler,Girona,253,2291421,,
3072,3073,2007-01-19,Suelo,Venta,Tarragona,236,1598664,,
3090,3091,2007-01-25,Suelo,Venta,Tarragona,212,1896340,,
3093,3094,2007-01-26,Suelo,Alquiler,Tarragona,214,1086478,,
3116,3117,2007-02-04,Suelo,Venta,Girona,160,1431040,,
3119,3120,2007-02-06,Suelo,Alquiler,Lleida,260,1746420,,
3163,3164,2007-02-23,Suelo,Venta,Tarragona,256,1175040,,
3169,3170,2007-02-26,Suelo,Venta,Lleida,168,1576848,,
3172,3173,2007-02-27,Suelo,Venta,Barcelona,279,1395837,,
3194,3195,2007-03-07,Suelo,Venta,Lleida,185,1109075,,
3202,3203,2007-03-09,Suelo,Alquiler,Tarragona,183,1694763,,
3213,3214,2007-03-14,Suelo,Venta,Tarragona,188,1607588,,
3242,3243,2007-03-22,Suelo,Venta,Girona,135,1096470,,
3249,3250,2007-03-23,Suelo,Alquiler,Tarragona,213,1202811,,
3268,3269,2007-04-01,Suelo,Alquiler,Tarragona,170,1178610,,
3285,3286,2007-04-07,Suelo,Alquiler,Barcelona,257,2490587,,
3297,3298,2007-04-12,Suelo,Venta,Tarragona,282,2689434,,
